parameter_A,parameter_B,channels,n_channels
THIN_ET_DC_RF_Vp_1,FIC_ET_R_f_tn_1,A_high_x_high,1
THIN_ET_DC_RF_n_gd,FIC_ET_R_f_tn_1,A_high_x_high,1
FIC_ET_R_f_tn_1,THIN_ET_DC_RF_n_gs,A_high_x_high,1
FIC_ET_R_f_tn_1,THIN_ET_HIRS,A_high_x_high,1
FIC_ET_R_f_tn_1,THIN_ET_KLV_F_AB_4u,A_high_x_high,1
THIN_ET_R314,FIC_ET_R_f_tn_1,A_high_x_high,1
FIC_ET_R_f_tn_1,THIN_ET_R_4000_HOR,A_high_x_high,1
THIN_ET_R_f_hr_1,FIC_ET_R_f_tn_1,A_high_x_high,1
FIC_ET_R_f_tn_1,THIN_ET_R_f_hr_3,A_high_x_high,1
THIN_ET_Ran_con_1,FIC_ET_R_f_tn_1,A_high_x_high,1
FIC_ET_R_f_tn_1,THIN_ET_Ran_con_2,A_high_x_high,1
FIC_ET_R_f_tn_1,THIN_ET_Ran_con_2_OW_CR,A_high_x_high,1
FIC_ET_R_f_tn_1,THIN_ET_Ran_con_3_OW_CR,A_high_x_high,1
FIC_ET_R_f_tn_1,THIN_ET_Rc_OG142,A_high_x_high,1
FIC_ET_R_f_tn_1,THIN_ET_Rc_TF_AB_2,A_high_x_high,1
FIC_ET_R_f_tn_1,THIN_ET_Rc_an_ct2_OW_CR,A_high_x_high,1
FIC_ET_R_f_tn_1,THIN_ET_Rc_cat_ct2,A_high_x_high,1
FIC_ET_R_f_tn_1,THIN_ET_Rc_f_hr_23,A_high_x_high,1
FIC_ET_R_f_tn_1,THIN_ET_Rcat_cn_1,A_high_x_high,1
THIN_ET_Rcat_cn_1_OW_ST,FIC_ET_R_f_tn_1,A_high_x_high,1
THIN_ET_Rcat_cn_3,FIC_ET_R_f_tn_1,A_high_x_high,1
FIC_ET_R_f_tn_1,THIN_ET_Rsh_an_ct2,A_high_x_high,1
FIC_ET_R_f_tn_1,THIN_ET_Rsh_cat_c2,A_high_x_high,1
FIC_ET_R_f_tn_1,THIN_ET_TANR,A_high_x_high,1
FIC_ET_R_f_tn_1,THIN_ET_TF_AB_1,A_high_x_high,1
FIC_ET_R_f_tn_1,THIN_ET_TF_AB_2,A_high_x_high,1
FIC_ET_R_f_tn_1,THIN_ET_i5021_1,A_high_x_high,1
FIC_ET_R_f_tn_1,THIN_ET_i5021_3,A_high_x_high,1
FIC_ET_R_f_tn_1,THIN_ET_lkg_10,A_high_x_high,1
FIC_ET_R_f_tn_1,THIN_ET_lkg_100_at20V,A_high_x_high,1
FIC_ET_R_f_tn_1,THIN_ET_lkg_5,A_high_x_high,1
FIC_ET_R_f_tn_1,THIN_ET_lkg_C200,A_high_x_high,1
FIC_ET_R_f_tn_1,THIN_ET_lkg_PAD_10,A_high_x_high,1
FIC_ET_R_f_tn_1,THIN_ET_sh_f_hr_23,A_high_x_high,1
TOPSIN_ET_C100Cap1pf,FIC_ET_R_f_tn_1,A_high_x_high,1
TOPSIN_ET_C100Cap2pf,FIC_ET_R_f_tn_1,A_high_x_high,1
FIC_ET_R_f_tn_1,TOPSIN_ET_C100CapFICM1,A_high_x_high,1
FIC_ET_R_f_tn_1,TOPSIN_ET_C100CapPARCAP,A_high_x_high,1
FIC_ET_R_f_tn_1,TOPSIN_ET_C100CapUSV,A_high_x_high,1
TOPSIN_ET_C300,FIC_ET_R_f_tn_1,A_high_x_high,1
FIC_ET_R_f_tn_1,TOPSIN_ET_C300pf,A_high_x_high,1
TOPSIN_ET_Cap1pf,FIC_ET_R_f_tn_1,A_high_x_high,1
TOPSIN_ET_Cap2pf,FIC_ET_R_f_tn_1,A_high_x_high,1
FIC_ET_R_f_tn_1,TOPSIN_ET_Cap3pf,A_high_x_high,1
TOPSIN_ET_Cap3pf_0,FIC_ET_R_f_tn_1,A_high_x_high,1
FIC_ET_R_f_tn_1,TOPSIN_ET_CapFICBRGM,A_high_x_high,1
FIC_ET_R_f_tn_1,TOPSIN_ET_CapFICM1,A_high_x_high,1
FIC_ET_R_f_tn_1,TOPSIN_ET_CapFICM1_0,A_high_x_high,1
FIC_ET_R_f_tn_1,TOPSIN_ET_CapPARCAP,A_high_x_high,1
TOPSIN_ET_CapPARCAP_0,FIC_ET_R_f_tn_1,A_high_x_high,1
FIC_ET_R_f_tn_1,TOPSIN_ET_CapUSV_0,A_high_x_high,1
TOPSIN_ET_Cap_C300,FIC_ET_R_f_tn_1,A_high_x_high,1
FIC_ET_R_f_tn_1,TOPSIN_ET_Cap_USV,A_high_x_high,1
FIC_ET_R_f_tn_1,TOPSIN_ET_DC_PIV_Drain_Lag_0,A_high_x_high,1
TOPSIN_ET_DC_PIV_Drain_Lag_1,FIC_ET_R_f_tn_1,A_high_x_high,1
FIC_ET_R_f_tn_1,TOPSIN_ET_DC_PIV_Ids0_QP3,A_high_x_high,1
TOPSIN_ET_DC_PIV_Ids1_QP1,FIC_ET_R_f_tn_1,A_high_x_high,1
FIC_ET_R_f_tn_1,TOPSIN_ET_DC_RF_Idss,A_high_x_high,1
TOPSIN_ET_DC_RF_Imax,FIC_ET_R_f_tn_1,A_high_x_high,1
FIC_ET_R_f_tn_1,TOPSIN_ET_DC_RF_Vbgd1,A_high_x_high,1
TOPSIN_ET_DC_RF_Vbgs1,FIC_ET_R_f_tn_1,A_high_x_high,1
FIC_ET_R_f_tn_1,TOPSIN_ET_DC_RF_Vbgs_0p1,A_high_x_high,1
FIC_ET_R_f_tn_1,TOPSIN_ET_DC_RF_Vboff,A_high_x_high,1
FIC_ET_R_f_tn_1,TOPSIN_ET_DC_RF_Vds_max,A_high_x_high,1
FIC_ET_R_f_tn_1,TOPSIN_ET_DC_RF_Vg_gm_max,A_high_x_high,1
TOPSIN_ET_DC_RF_Vg_max_Vd,FIC_ET_R_f_tn_1,A_high_x_high,1
FIC_ET_R_f_tn_1,TOPSIN_ET_DC_RF_Vg_optt,A_high_x_high,1
TOPSIN_ET_DC_RF_Vp_01,FIC_ET_R_f_tn_1,A_high_x_high,1
TOPSIN_ET_DC_RF_Vt_gd,FIC_ET_R_f_tn_1,A_high_x_high,1
TOPSIN_ET_DC_RF_n_gs,FIC_ET_R_f_tn_1,A_high_x_high,1
TOPSIN_ET_DC_SMALL_Vbgd1,FIC_ET_R_f_tn_1,A_high_x_high,1
FIC_ET_R_f_tn_1,TOPSIN_ET_DC_SMALL_Vbgd_0p1,A_high_x_high,1
FIC_ET_R_f_tn_1,TOPSIN_ET_DC_SMALL_Vbgs1,A_high_x_high,1
FIC_ET_R_f_tn_1,TOPSIN_ET_DC_SMALL_Vdg_max,A_high_x_high,1
FIC_ET_R_f_tn_1,TOPSIN_ET_DC_SMALL_Vg_gm_max,A_high_x_high,1
TOPSIN_ET_Gate_res,FIC_ET_R_f_tn_1,A_high_x_high,1
TOPSIN_ET_Gm_m2,FIC_ET_R_f_tn_1,A_high_x_high,1
TOPSIN_ET_Gm_max,FIC_ET_R_f_tn_1,A_high_x_high,1
FIC_ET_R_f_tn_1,TOPSIN_ET_I_5,A_high_x_high,1
TOPSIN_ET_KLV_F_AB_4u,FIC_ET_R_f_tn_1,A_high_x_high,1
FIC_ET_R_f_tn_1,TOPSIN_ET_Load_Pull_Id_ini,A_high_x_high,1
FIC_ET_R_f_tn_1,TOPSIN_ET_Load_Pull_P.A.E_Last,A_high_x_high,1
FIC_ET_R_f_tn_1,TOPSIN_ET_OHMC,A_high_x_high,1
FIC_ET_R_f_tn_1,TOPSIN_ET_R114,A_high_x_high,1
FIC_ET_R_f_tn_1,TOPSIN_ET_R414,A_high_x_high,1
FIC_ET_R_f_tn_1,TOPSIN_ET_R514,A_high_x_high,1
TOPSIN_ET_R_f_hr_2,FIC_ET_R_f_tn_1,A_high_x_high,1
TOPSIN_ET_R_f_hr_3,FIC_ET_R_f_tn_1,A_high_x_high,1
FIC_ET_R_f_tn_1,TOPSIN_ET_R_f_tn_1,A_high_x_high,1
FIC_ET_R_f_tn_1,TOPSIN_ET_Rc_OG144,A_high_x_high,1
FIC_ET_R_f_tn_1,TOPSIN_ET_Rc_f_tn_23,A_high_x_high,1
FIC_ET_R_f_tn_1,TOPSIN_ET_TR_1F,A_high_x_high,1
FIC_ET_R_f_tn_1,TOPSIN_ET_Vdg_max,A_high_x_high,1
FIC_ET_R_f_tn_1,TOPSIN_ET_Vds_max,A_high_x_high,1
FIC_ET_R_f_tn_1,TOPSIN_ET_Vg_gm_max,A_high_x_high,1
TOPSIN_ET_lkg_5,FIC_ET_R_f_tn_1,A_high_x_high,1
FIC_ET_R_f_tn_1,TOPSIN_ET_lkg_C300pf,A_high_x_high,1
FIC_ET_R_f_tn_1,TOPSIN_ET_lkg_C450pf,A_high_x_high,1
FIC_ET_R_f_tn_1,TOPSIN_ET_lkg_Cap2,A_high_x_high,1
FIC_ET_R_f_tn_1,TOPSIN_ET_lkg_Cap3,A_high_x_high,1
TOPSIN_ET_lkg_CapFICM1,FIC_ET_R_f_tn_1,A_high_x_high,1
FIC_ET_R_f_tn_1,TOPSIN_ET_lkg_CapPARCAP,A_high_x_high,1
FIC_ET_R_f_tn_1,TOPSIN_ET_lkg_Cap_USV,A_high_x_high,1
FIC_ET_R_f_tn_1,TOPSIN_ET_lkg_SY07_10,A_high_x_high,1
TOPSIN_ET_lkg_SY8_80,FIC_ET_R_f_tn_1,A_high_x_high,1
FIC_ET_R_f_tn_1,TOPSIN_ET_sh_GA144,A_high_x_high,1
FIC_ET_R_f_tn_1,TOPSIN_ET_sh_f_tn_23,A_high_x_high,1
FIC_ET_Rc_OG142,FIC_ET_R_f_tn_2,A_high_x_high,1
FIC_ET_Rc_f_hr_23,FIC_ET_R_f_tn_2,A_high_x_high,1
FIC_ET_Rc_f_tn_23,FIC_ET_R_f_tn_2,A_high_x_high,1
FIC_ET_Vds_max,FIC_ET_R_f_tn_2,A_high_x_high,1
FIC_ET_Vp_1,FIC_ET_R_f_tn_2,A_high_x_high,1
FIC_ET_lkg_5,FIC_ET_R_f_tn_2,A_high_x_high,1
FIC_ET_lkg_SY07_10,FIC_ET_R_f_tn_2,A_high_x_high,1
FIC_ET_lkg_SY8_80,FIC_ET_R_f_tn_2,A_high_x_high,1
FIC_ET_sh_f_tn_23,FIC_ET_R_f_tn_2,A_high_x_high,1
FIC_ET_R_f_tn_2,FIN_FIN_Alignment_FIN_to_ohmic_alignment,A_high_x_high,1
FIC_ET_R_f_tn_2,MEASURE_ET_ABVIETCH,A_high_x_high,1
MEASURE_ET_C100,FIC_ET_R_f_tn_2,A_high_x_high,1
MEASURE_ET_C100C175pf,FIC_ET_R_f_tn_2,A_high_x_high,1
MEASURE_ET_C100C300pf,FIC_ET_R_f_tn_2,A_high_x_high,1
MEASURE_ET_C100CapPARCAP,FIC_ET_R_f_tn_2,A_high_x_high,1
MEASURE_ET_C100USV_Cappf,FIC_ET_R_f_tn_2,A_high_x_high,1
FIC_ET_R_f_tn_2,MEASURE_ET_C200_0,A_high_x_high,1
MEASURE_ET_C20_0,FIC_ET_R_f_tn_2,A_high_x_high,1
MEASURE_ET_C300,FIC_ET_R_f_tn_2,A_high_x_high,1
MEASURE_ET_C300FB_0,FIC_ET_R_f_tn_2,A_high_x_high,1
MEASURE_ET_C300FM1,FIC_ET_R_f_tn_2,A_high_x_high,1
MEASURE_ET_C300M1B_0,FIC_ET_R_f_tn_2,A_high_x_high,1
MEASURE_ET_C300pf,FIC_ET_R_f_tn_2,A_high_x_high,1
MEASURE_ET_C385pf,FIC_ET_R_f_tn_2,A_high_x_high,1
FIC_ET_R_f_tn_2,MEASURE_ET_C_CAT_2,A_high_x_high,1
MEASURE_ET_Cap2pf,FIC_ET_R_f_tn_2,A_high_x_high,1
MEASURE_ET_Cap2pf_0,FIC_ET_R_f_tn_2,A_high_x_high,1
MEASURE_ET_Cap3pf_0,FIC_ET_R_f_tn_2,A_high_x_high,1
MEASURE_ET_CapPARCAP,FIC_ET_R_f_tn_2,A_high_x_high,1
MEASURE_ET_CapPARCAP_0,FIC_ET_R_f_tn_2,A_high_x_high,1
MEASURE_ET_DC_Big_S12dB_10GHz,FIC_ET_R_f_tn_2,A_high_x_high,1
MEASURE_ET_DC_Big_Vg_optt2,FIC_ET_R_f_tn_2,A_high_x_high,1
FIC_ET_R_f_tn_2,MEASURE_ET_DC_Diode_Rs_9p5,A_high_x_high,1
MEASURE_ET_DC_Diode_S11_dB_forw,FIC_ET_R_f_tn_2,A_high_x_high,1
MEASURE_ET_DC_PIV_Drain_Lag_0,FIC_ET_R_f_tn_2,A_high_x_high,1
MEASURE_ET_DC_PIV_Ids0_QP1,FIC_ET_R_f_tn_2,A_high_x_high,1
FIC_ET_R_f_tn_2,MEASURE_ET_DC_RD_K,A_high_x_high,1
MEASURE_ET_DC_RF2_MAG_26GHz,FIC_ET_R_f_tn_2,A_high_x_high,1
MEASURE_ET_DC_RF2_S11ang_26GHz,FIC_ET_R_f_tn_2,A_high_x_high,1
MEASURE_ET_DC_RF2_S11dB_26GHz,FIC_ET_R_f_tn_2,A_high_x_high,1
MEASURE_ET_DC_RF2_S21ang_26GHz,FIC_ET_R_f_tn_2,A_high_x_high,1
MEASURE_ET_DC_RF2_S22ang_26GHz,FIC_ET_R_f_tn_2,A_high_x_high,1
MEASURE_ET_DC_RF2_S22dB_26GHz,FIC_ET_R_f_tn_2,A_high_x_high,1
MEASURE_ET_DC_RF_CF_S11_Ph_L1002,FIC_ET_R_f_tn_2,A_high_x_high,1
MEASURE_ET_DC_RF_CF_S12_Mag_L1002,FIC_ET_R_f_tn_2,A_high_x_high,1
MEASURE_ET_DC_RF_CF_S21_Mag_L1018,FIC_ET_R_f_tn_2,A_high_x_high,1
MEASURE_ET_DC_RF_CF_S22_Ph_L1018,FIC_ET_R_f_tn_2,A_high_x_high,1
MEASURE_ET_DC_RF_CF_S22_Ph_L2180,FIC_ET_R_f_tn_2,A_high_x_high,1
MEASURE_ET_DC_RF_Gm_m0p2_W,FIC_ET_R_f_tn_2,A_high_x_high,1
MEASURE_ET_DC_RF_Id_Vbon_min,FIC_ET_R_f_tn_2,A_high_x_high,1
MEASURE_ET_DC_RF_Idss_W,FIC_ET_R_f_tn_2,A_high_x_high,1
MEASURE_ET_DC_RF_Imax_W,FIC_ET_R_f_tn_2,A_high_x_high,1
MEASURE_ET_DC_RF_K_W,FIC_ET_R_f_tn_2,A_high_x_high,1
MEASURE_ET_DC_RF_Max_S11_Freq_L1002,FIC_ET_R_f_tn_2,A_high_x_high,1
MEASURE_ET_DC_RF_Max_S11_Freq_L1018,FIC_ET_R_f_tn_2,A_high_x_high,1
MEASURE_ET_DC_RF_Max_S11_Freq_L2180,FIC_ET_R_f_tn_2,A_high_x_high,1
FIC_ET_R_f_tn_2,MEASURE_ET_DC_RF_Max_S11_Ph_L2180,A_high_x_high,1
MEASURE_ET_DC_RF_Min_S21_Freq_L1018,FIC_ET_R_f_tn_2,A_high_x_high,1
MEASURE_ET_DC_RF_S11ang_10GHz,FIC_ET_R_f_tn_2,A_high_x_high,1
MEASURE_ET_DC_RF_S11dB_10GHz,FIC_ET_R_f_tn_2,A_high_x_high,1
MEASURE_ET_DC_RF_S11dB_26GHz,FIC_ET_R_f_tn_2,A_high_x_high,1
MEASURE_ET_DC_RF_S22dB_26GHz_W,FIC_ET_R_f_tn_2,A_high_x_high,1
MEASURE_ET_DC_RF_Vbgs_0p1,FIC_ET_R_f_tn_2,A_high_x_high,1
MEASURE_ET_DC_RF_Vbin_gs,FIC_ET_R_f_tn_2,A_high_x_high,1
FIC_ET_R_f_tn_2,MEASURE_ET_DC_RF_Vboff,A_high_x_high,1
MEASURE_ET_DC_RF_Vbon_min,FIC_ET_R_f_tn_2,A_high_x_high,1
MEASURE_ET_DC_RF_Vg_Vbon_min,FIC_ET_R_f_tn_2,A_high_x_high,1
MEASURE_ET_DC_RF_Vt_gd,FIC_ET_R_f_tn_2,A_high_x_high,1
MEASURE_ET_DC_SEC_Ids_min_ON,FIC_ET_R_f_tn_2,A_high_x_high,1
MEASURE_ET_DC_SEC_S_Id_mA_mm_at_Vg3_FPSD3p2,FIC_ET_R_f_tn_2,A_high_x_high,1
MEASURE_ET_DC_SEC_S_Id_mA_mm_at_Vg3_SD3p5,FIC_ET_R_f_tn_2,A_high_x_high,1
MEASURE_ET_DC_SEC_S_Ig_cut1_mAmm_neg_SD3p5,FIC_ET_R_f_tn_2,A_high_x_high,1
MEASURE_ET_DC_SEC_S_Vg_at_I1_neg,FIC_ET_R_f_tn_2,A_high_x_high,1
FIC_ET_R_f_tn_2,MEASURE_ET_DC_SEC_S_Vp_1_mA_mm_first_SD3p5,A_high_x_high,1
MEASURE_ET_DC_SEC_Vbin_gs,FIC_ET_R_f_tn_2,A_high_x_high,1
MEASURE_ET_DC_SEC_Vgs_0p1V,FIC_ET_R_f_tn_2,A_high_x_high,1
MEASURE_ET_DC_SEC_Vgs_0p5V,FIC_ET_R_f_tn_2,A_high_x_high,1
MEASURE_ET_DC_SEC_Vp_1mA,FIC_ET_R_f_tn_2,A_high_x_high,1
MEASURE_ET_DC_SEC_X_Bin,FIC_ET_R_f_tn_2,A_high_x_high,1
MEASURE_ET_DC_SEC_X_Id_at_Vboff_mA_mm_SD3p5,FIC_ET_R_f_tn_2,A_high_x_high,1
FIC_ET_R_f_tn_2,MEASURE_ET_DC_SEC_X_Id_plus_Ig_at_Vboff_mA_mm_FPSD3p2,A_high_x_high,1
MEASURE_ET_DC_SEC_X_Ids_max_norm_FPSD3p2,FIC_ET_R_f_tn_2,A_high_x_high,1
MEASURE_ET_DC_SEC_X_Ig_cut1_mAmm_pos,FIC_ET_R_f_tn_2,A_high_x_high,1
FIC_ET_R_f_tn_2,MEASURE_ET_DC_SEC_X_Ig_cut1_mAmm_pos_FPSD3p2,A_high_x_high,1
MEASURE_ET_DC_SEC_X_Ig_cut3_mAmm_neg_FPSD3p2,FIC_ET_R_f_tn_2,A_high_x_high,1
MEASURE_ET_DC_SEC_X_Ig_mAmm_at_Vg_cond_neg,FIC_ET_R_f_tn_2,A_high_x_high,1
MEASURE_ET_DC_SEC_X_Vboff_Id,FIC_ET_R_f_tn_2,A_high_x_high,1
MEASURE_ET_DC_SEC_X_Vg_at_I1_pos_SD3p5,FIC_ET_R_f_tn_2,A_high_x_high,1
MEASURE_ET_DC_SEC_X_Vg_at_I3_pos,FIC_ET_R_f_tn_2,A_high_x_high,1
MEASURE_ET_DC_SEC_X_Vp_1_mA_mm,FIC_ET_R_f_tn_2,A_high_x_high,1
MEASURE_ET_DC_SMALL_Ids_m0p2,FIC_ET_R_f_tn_2,A_high_x_high,1
FIC_ET_R_f_tn_2,MEASURE_ET_DC_SMALL_Imax,A_high_x_high,1
MEASURE_ET_DC_SMALL_Vbgs_0p01,FIC_ET_R_f_tn_2,A_high_x_high,1
MEASURE_ET_DC_SMALL_Vdg_max_0p1,FIC_ET_R_f_tn_2,A_high_x_high,1
MEASURE_ET_DC_SMALL_Vg_gm_max,FIC_ET_R_f_tn_2,A_high_x_high,1
MEASURE_ET_DC_SMALL_Vg_max_Vd,FIC_ET_R_f_tn_2,A_high_x_high,1
FIC_ET_R_f_tn_2,MEASURE_ET_DC_Stress_Id_max_Ig_after,A_high_x_high,1
MEASURE_ET_DC_Stress_Id_stress_after,FIC_ET_R_f_tn_2,A_high_x_high,1
MEASURE_ET_DC_Stress_Id_stress_before,FIC_ET_R_f_tn_2,A_high_x_high,1
MEASURE_ET_DC_Stress_Vp_after,FIC_ET_R_f_tn_2,A_high_x_high,1
MEASURE_ET_HIRS,FIC_ET_R_f_tn_2,A_high_x_high,1
MEASURE_ET_LT_SEC_Id_min_mA_mm,FIC_ET_R_f_tn_2,A_high_x_high,1
MEASURE_ET_LT_SEC_Ileak_m10p5V_mA_mm,FIC_ET_R_f_tn_2,A_high_x_high,1
MEASURE_ET_LT_SEC_Ileak_m12p5V_mA_mm,FIC_ET_R_f_tn_2,A_high_x_high,1
FIC_ET_R_f_tn_2,MEASURE_ET_LT_SEC_Ileak_m16p5V_mA_mm,A_high_x_high,1
MEASURE_ET_LT_SEC_Ileak_m5p5V_mA_mm,FIC_ET_R_f_tn_2,A_high_x_high,1
MEASURE_ET_LT_SEC_Ileak_m7V_mA_mm,FIC_ET_R_f_tn_2,A_high_x_high,1
MEASURE_ET_LT_SEC_Vbgd1_Vd3,FIC_ET_R_f_tn_2,A_high_x_high,1
MEASURE_ET_LT_SEC_Vg_Id_min,FIC_ET_R_f_tn_2,A_high_x_high,1
MEASURE_ET_Load_Pull_GL_set,FIC_ET_R_f_tn_2,A_high_x_high,1
MEASURE_ET_Load_Pull_Gss,FIC_ET_R_f_tn_2,A_high_x_high,1
FIC_ET_R_f_tn_2,MEASURE_ET_Load_Pull_Pout_W_last,A_high_x_high,1
MEASURE_ET_Load_Pull_Pout_W_mm_last,FIC_ET_R_f_tn_2,A_high_x_high,1
MEASURE_ET_R414,FIC_ET_R_f_tn_2,A_high_x_high,1
MEASURE_ET_RF_Modeling_Cgd_err,FIC_ET_R_f_tn_2,A_high_x_high,1
MEASURE_ET_RF_Modeling_Fmax,FIC_ET_R_f_tn_2,A_high_x_high,1
MEASURE_ET_RF_Modeling_Ft,FIC_ET_R_f_tn_2,A_high_x_high,1
MEASURE_ET_RF_Modeling_Gm,FIC_ET_R_f_tn_2,A_high_x_high,1
MEASURE_ET_RF_Modeling_K,FIC_ET_R_f_tn_2,A_high_x_high,1
MEASURE_ET_RF_Modeling_Ls,FIC_ET_R_f_tn_2,A_high_x_high,1
MEASURE_ET_RF_Modeling_Mag_d,FIC_ET_R_f_tn_2,A_high_x_high,1
MEASURE_ET_RF_Modeling_S12ang_10GHz,FIC_ET_R_f_tn_2,A_high_x_high,1
MEASURE_ET_RF_Modeling_S21_25G_Before,FIC_ET_R_f_tn_2,A_high_x_high,1
MEASURE_ET_RF_Modeling_S22ang_10GHz,FIC_ET_R_f_tn_2,A_high_x_high,1
MEASURE_ET_RF_Modeling_S22dB_10GHz,FIC_ET_R_f_tn_2,A_high_x_high,1
MEASURE_ET_RF_Modeling_Vth,FIC_ET_R_f_tn_2,A_high_x_high,1
MEASURE_ET_RGAN1,FIC_ET_R_f_tn_2,A_high_x_high,1
FIC_ET_R_f_tn_2,MEASURE_ET_RGAN2,A_high_x_high,1
MEASURE_ET_R_f_hr_3,FIC_ET_R_f_tn_2,A_high_x_high,1
MEASURE_ET_Rc_OG142_GN,FIC_ET_R_f_tn_2,A_high_x_high,1
MEASURE_ET_Rc_OG144,FIC_ET_R_f_tn_2,A_high_x_high,1
MEASURE_ET_Rc_an_ct2,FIC_ET_R_f_tn_2,A_high_x_high,1
FIC_ET_R_f_tn_2,MEASURE_ET_Rc_an_ct2_OW_CR,A_high_x_high,1
MEASURE_ET_Rc_cat_ct2_OW_ST,FIC_ET_R_f_tn_2,A_high_x_high,1
MEASURE_ET_Rc_f_tn_23,FIC_ET_R_f_tn_2,A_high_x_high,1
FIC_ET_R_f_tn_2,MEASURE_ET_Rcat_cn_1_OW_ST,A_high_x_high,1
MEASURE_ET_Rcat_cn_2,FIC_ET_R_f_tn_2,A_high_x_high,1
MEASURE_ET_Rcat_cn_3,FIC_ET_R_f_tn_2,A_high_x_high,1
MEASURE_ET_USV_Cappf,FIC_ET_R_f_tn_2,A_high_x_high,1
MEASURE_ET_USV_Cappf_0,FIC_ET_R_f_tn_2,A_high_x_high,1
FIC_ET_R_f_tn_2,MEASURE_ET_VIA_KLV,A_high_x_high,1
MEASURE_ET_Vbkdn_Cap100,FIC_ET_R_f_tn_2,A_high_x_high,1
MEASURE_ET_Vbkdn_Cap100_Long,FIC_ET_R_f_tn_2,A_high_x_high,1
MEASURE_ET_Vbpin,FIC_ET_R_f_tn_2,A_high_x_high,1
MEASURE_ET_lkg_10,FIC_ET_R_f_tn_2,A_high_x_high,1
MEASURE_ET_lkg_100,FIC_ET_R_f_tn_2,A_high_x_high,1
MEASURE_ET_lkg_100_at20V,FIC_ET_R_f_tn_2,A_high_x_high,1
MEASURE_ET_lkg_5,FIC_ET_R_f_tn_2,A_high_x_high,1
MEASURE_ET_lkg_50,FIC_ET_R_f_tn_2,A_high_x_high,1
MEASURE_ET_lkg_50_at20V,FIC_ET_R_f_tn_2,A_high_x_high,1
MEASURE_ET_lkg_70,FIC_ET_R_f_tn_2,A_high_x_high,1
MEASURE_ET_lkg_70_at20V,FIC_ET_R_f_tn_2,A_high_x_high,1
MEASURE_ET_lkg_C300,FIC_ET_R_f_tn_2,A_high_x_high,1
FIC_ET_R_f_tn_2,MEASURE_ET_lkg_C300pf,A_high_x_high,1
MEASURE_ET_lkg_C385pf,FIC_ET_R_f_tn_2,A_high_x_high,1
MEASURE_ET_lkg_Cap1,FIC_ET_R_f_tn_2,A_high_x_high,1
MEASURE_ET_lkg_CapFICBRGM,FIC_ET_R_f_tn_2,A_high_x_high,1
FIC_ET_R_f_tn_2,MEASURE_ET_lkg_CapFICM1,A_high_x_high,1
MEASURE_ET_lkg_CapPARCAP,FIC_ET_R_f_tn_2,A_high_x_high,1
MEASURE_ET_lkg_Cap_USV,FIC_ET_R_f_tn_2,A_high_x_high,1
MEASURE_ET_lkg_PAD_10,FIC_ET_R_f_tn_2,A_high_x_high,1
MEASURE_ET_lkg_USV_Cap,FIC_ET_R_f_tn_2,A_high_x_high,1
MESA_ET_Vbkd,FIC_ET_R_f_tn_2,A_high_x_high,1
MaskSetSupplyChipsCount,FIC_ET_R_f_tn_2,A_high_x_high,1
OHMIC_ET_OHMC,FIC_ET_R_f_tn_2,A_high_x_high,1
OHMIC_ET_R114,FIC_ET_R_f_tn_2,A_high_x_high,1
FIC_ET_R_f_tn_2,OHMIC_ET_R314,A_high_x_high,1
FIC_ET_R_f_tn_2,OHMIC_ET_Ran_con_1,A_high_x_high,1
OHMIC_ET_Ran_con_3,FIC_ET_R_f_tn_2,A_high_x_high,1
OHMIC_ET_Rc_OG142,FIC_ET_R_f_tn_2,A_high_x_high,1
FIC_ET_R_f_tn_2,OHMIC_ET_Rc_an_ct2,A_high_x_high,1
FIC_ET_R_f_tn_2,OHMIC_ET_Rsh_an_ct2,A_high_x_high,1
FIC_ET_R_f_tn_2,OHMIC_ET_lkg_5,A_high_x_high,1
OHMIC_ET_sh_GA142,FIC_ET_R_f_tn_2,A_high_x_high,1
SIN_CAPACITOR_ThicknessGN1_SiN_Thickness,FIC_ET_R_f_tn_2,A_high_x_high,1
FIC_ET_R_f_tn_2,SIN_ET_DC_RF_Gm_0,A_high_x_high,1
FIC_ET_R_f_tn_2,SIN_ET_DC_RF_Ids_m0p2,A_high_x_high,1
SIN_ET_DC_RF_Idss,FIC_ET_R_f_tn_2,A_high_x_high,1
SIN_ET_DC_RF_Vbgd_0p1,FIC_ET_R_f_tn_2,A_high_x_high,1
SIN_ET_DC_RF_Vbgs_0p01,FIC_ET_R_f_tn_2,A_high_x_high,1
SIN_ET_DC_RF_Vbin_gd,FIC_ET_R_f_tn_2,A_high_x_high,1
SIN_ET_DC_RF_Vbin_gs,FIC_ET_R_f_tn_2,A_high_x_high,1
SIN_ET_DC_RF_Vdg_max_0p1,FIC_ET_R_f_tn_2,A_high_x_high,1
SIN_ET_DC_RF_Vdg_max_0p1mA,FIC_ET_R_f_tn_2,A_high_x_high,1
SIN_ET_DC_RF_Vg_gm_max,FIC_ET_R_f_tn_2,A_high_x_high,1
SIN_ET_DC_RF_Vg_max_Vd,FIC_ET_R_f_tn_2,A_high_x_high,1
FIC_ET_R_f_tn_2,SIN_ET_DC_RF_Vg_max_Vd_0p1,A_high_x_high,1
SIN_ET_DC_RF_Vg_optt1,FIC_ET_R_f_tn_2,A_high_x_high,1
